__timestamp,Minted DAI,Burnt DAI,Total Supply
2019-02-11,239072761.26552117,161861503.38355082,77211257.88197035
2019-02-10,238695588.44710964,161214206.8046608,77481381.64244884
2019-02-09,238457291.94812366,161096640.3168247,77360651.63129896
2019-02-08,237466797.07502553,160981715.61554042,76485081.45948511
2019-02-07,237018500.7398144,160289349.39937437,76729151.34044003
2019-02-06,236805137.53954408,160006710.10989362,76798427.42965046
2019-02-05,236086735.74390468,159558411.21559498,76528324.5283097
2019-02-04,235972813.090992,159528138.3251923,76444674.7657997
2019-02-03,235500587.18863788,159486224.6287444,76014362.55989349
2019-02-02,235288531.27593273,159440617.92795274,75847913.34798
2019-02-01,234830714.4078776,159311677.28454548,75519037.12333211
2019-01-31,234667945.6415828,159214990.16455996,75452955.47702283
2019-01-30,234258510.61037973,158988276.27301073,75270234.337369
2019-01-29,233298184.64269873,158768832.5862382,74529352.05646053
2019-01-28,233130850.46033382,158569502.07211718,74561348.38821664
2019-01-27,232198963.75340024,157767530.85921413,74431432.89418611
2019-01-26,231898202.43981722,157543402.52638492,74354799.9134323
2019-01-25,231720564.70399472,157458014.14037505,74262550.56361967
2019-01-24,231099409.87299472,156786015.5814619,74313394.29153281
2019-01-23,230095438.52639472,156632717.26924562,73462721.2571491
2019-01-22,229660365.130402,156565121.7654361,73095243.36496589
2019-01-21,229379838.38062435,156458399.72656614,72921438.65405822
2019-01-20,228954110.0230862,156201314.28690693,72752795.73617926
2019-01-19,227955704.98708618,156047344.99366945,71908359.99341673
2019-01-18,227417681.2173703,155891735.68901473,71525945.52835557
2019-01-17,227186624.65052432,155815154.360366,71371470.29015833
2019-01-16,226351882.65499222,154656512.3471866,71695370.30780563
2019-01-15,225766255.19000554,154449723.28369653,71316531.90630901
2019-01-14,225368401.69233996,154136731.69258234,71231669.99975762
2019-01-13,223671063.57186788,153767361.47525233,69903702.09661555
2019-01-12,222389794.79108387,152166310.3202136,70223484.47087029
2019-01-11,222021779.73108387,152012484.64971069,70009295.08137318
2019-01-10,221743205.49415955,151599208.23140845,70143997.2627511
2019-01-09,220935883.3697195,150361719.26227713,70574164.10744238
